//X;Y;Z;R;G;B;Number_of_Returns;Return_Number;Time;Intensity
0.25800180;10.77900028;2.21140575;148;130;120;1.000000;1.000000;68264.406250;7138.000000
0.27100179;10.82299995;2.20940566;137;119;109;1.000000;1.000000;68264.406250;7138.000000
0.28100181;10.86499977;2.20640564;142;125;115;1.000000;1.000000;68264.406250;7138.000000
0.34900180;11.04699993;2.20740557;90;90;96;1.000000;1.000000;68264.406250;7138.000000
0.92100179;10.31999969;2.69440556;148;137;127;1.000000;1.000000;68264.460938;3893.000000
0.91200179;10.34599972;2.68440557;138;133;121;1.000000;1.000000;68264.460938;3893.000000
0.87400180;10.38099957;2.65340567;86;86;76;1.000000;1.000000;68264.460938;3893.000000
0.80700183;10.38700008;2.60940576;33;31;34;1.000000;1.000000;68264.460938;1298.000000
0.09700180;10.03100014;2.20440578;143;128;123;1.000000;1.000000;68264.460938;7138.000000
0.11700180;10.08699989;2.20640564;153;138;133;1.000000;1.000000;68264.460938;7138.000000
0.17900179;10.29100037;2.20540571;146;131;126;1.000000;1.000000;68264.460938;7138.000000
0.19400179;10.34000015;2.20540571;142;128;124;1.000000;1.000000;68264.460938;7138.000000
0.20600180;10.38700008;2.20340562;105;94;94;1.000000;1.000000;68264.460938;7138.000000
0.27400181;10.58199978;2.20440578;140;123;119;1.000000;1.000000;68264.460938;7138.000000
0.30900180;10.67899990;2.20640564;156;137;130;1.000000;1.000000;68264.460938;8435.000000
0.33000180;10.72700024;2.20940566;163;144;137;1.000000;1.000000;68264.460938;7138.000000
0.34800181;10.77499962;2.20940566;158;139;132;1.000000;1.000000;68264.460938;7138.000000
0.36300179;10.81900024;2.20940566;150;131;124;1.000000;1.000000;68264.460938;7138.000000
0.39100179;10.90600014;2.20740557;136;122;109;1.000000;1.000000;68264.460938;7138.000000
0.41100180;10.95100021;2.20940566;139;127;122;1.000000;1.000000;68264.460938;7786.000000
0.43100181;10.99800014;2.21140575;114;107;107;1.000000;1.000000;68264.460938;7786.000000
0.45800179;11.07900047;2.20840573;95;99;104;1.000000;1.000000;68264.460938;6489.000000
0.46600181;11.11600018;2.20440578;97;97;105;1.000000;1.000000;68264.460938;7786.000000
0.91700178;10.31499958;2.64440560;157;151;139;1.000000;1.000000;68264.507813;3893.000000
0.91200179;10.34500027;2.63640571;134;132;119;1.000000;1.000000;68264.507813;3893.000000
0.89500183;10.36499977;2.62140560;123;125;111;1.000000;1.000000;68264.507813;3893.000000
0.79500180;10.37399960;2.55340576;31;30;35;1.000000;1.000000;68264.507813;2595.000000
0.14400180;9.93900013;2.20340562;167;152;147;1.000000;1.000000;68264.507813;7138.000000
0.16800180;9.99800014;2.20640564;158;143;138;1.000000;1.000000;68264.507813;7138.000000
0.23100179;10.20100021;2.20640564;158;143;138;1.000000;1.000000;68264.507813;7138.000000
0.30100179;10.43500042;2.20040560;66;59;67;1.000000;1.000000;68264.507813;8435.000000
0.31500179;10.47900009;2.20040560;63;55;63;1.000000;1.000000;68264.507813;8435.000000
0.35300180;10.57699966;2.20240569;153;136;130;1.000000;1.000000;68264.507813;9733.000000
0.37100181;10.62300014;2.20340562;154;135;129;1.000000;1.000000;68264.507813;9733.000000
0.40600181;10.71500015;2.20540571;143;125;116;1.000000;1.000000;68264.507813;9733.000000
0.51100183;10.98000050;2.21040559;133;124;126;1.000000;1.000000;68264.507813;9084.000000
0.58700180;11.18099976;2.20740557;105;105;113;1.000000;1.000000;68264.507813;8435.000000
0.59800178;11.21800041;2.20440578;108;108;116;1.000000;1.000000;68264.507813;8435.000000
0.61200178;11.25500011;2.20440578;137;137;145;1.000000;1.000000;68264.507813;8435.000000
0.62700182;11.29399967;2.20340562;96;98;107;1.000000;1.000000;68264.507813;8435.000000
0.64100182;11.32999992;2.20240569;127;134;146;1.000000;1.000000;68264.507813;8435.000000
0.91700178;10.28299999;2.59440565;161;151;141;1.000000;1.000000;68264.562500;2595.000000
0.80800182;10.38599968;2.49940562;29;28;33;1.000000;1.000000;68264.562500;2595.000000
0.26200181;10.02299976;2.20240569;166;148;142;1.000000;1.000000;68264.562500;7138.000000
0.29900181;10.12699986;2.20540571;163;146;138;1.000000;1.000000;68264.562500;7138.000000
0.34300181;10.26799965;2.20340562;155;140;135;1.000000;1.000000;68264.562500;8435.000000
0.40500179;10.45199966;2.20240569;53;51;52;1.000000;1.000000;68264.562500;9733.000000
0.44600180;10.55099964;2.20740557;144;134;127;1.000000;1.000000;68264.562500;9733.000000
0.46200180;10.59500027;2.20740557;150;132;125;1.000000;1.000000;68264.562500;9733.000000
0.51200181;10.72700024;2.20840573;158;138;129;1.000000;1.000000;68264.562500;9084.000000
0.52400178;10.76700020;2.20640564;153;133;123;1.000000;1.000000;68264.562500;9084.000000
0.59700179;10.88099957;2.22840571;93;71;49;1.000000;1.000000;68264.562500;12329.000000
0.62600178;11.01700020;2.21040559;94;95;95;1.000000;1.000000;68264.562500;11031.000000
0.68100178;11.16899967;2.20540571;102;107;113;1.000000;1.000000;68264.562500;8435.000000
0.72500181;11.28100014;2.20340562;150;155;161;1.000000;1.000000;68264.562500;8435.000000
0.92200178;10.27799988;2.54540563;165;153;144;1.000000;1.000000;68264.609375;2595.000000
0.91700178;10.33800030;2.52940559;141;138;123;1.000000;1.000000;68264.609375;3893.000000
0.35700181;10.03600025;2.20940566;170;156;148;1.000000;1.000000;68264.609375;5840.000000
0.37300181;10.11999989;2.20040560;153;139;130;1.000000;1.000000;68264.609375;7138.000000
0.39300179;10.17000008;2.20340562;159;144;135;1.000000;1.000000;68264.609375;7138.000000
0.43000180;10.30099964;2.19740558;135;126;118;1.000000;1.000000;68264.609375;8435.000000
0.49100181;10.38199997;2.22040558;97;94;90;1.000000;1.000000;68264.609375;7138.000000
0.57800180;10.51200008;2.25040579;67;67;63;1.000000;1.000000;68264.609375;14924.000000
0.51800179;10.49800014;2.20940566;61;62;58;1.000000;1.000000;68264.609375;17520.000000
0.54100180;10.57999992;2.20540571;103;90;79;1.000000;1.000000;68264.609375;9084.000000
0.56500179;10.62800026;2.20940566;139;130;112;1.000000;1.000000;68264.609375;9733.000000
0.75700182;11.10999966;2.21140575;99;104;116;1.000000;1.000000;68264.609375;10382.000000
0.76100183;11.13899994;2.20440578;102;106;117;1.000000;1.000000;68264.609375;8435.000000
0.85700178;11.38500023;2.19640565;100;102;110;1.000000;1.000000;68264.609375;7786.000000
0.90000182;11.48600006;2.19440556;95;98;110;1.000000;1.000000;68264.609375;7786.000000
0.91700178;11.52099991;2.19540572;100;102;115;1.000000;1.000000;68264.609375;7786.000000
0.90600181;10.36400032;2.45640564;118;118;109;1.000000;1.000000;68264.656250;3893.000000
0.80500180;10.37800026;2.38240576;30;28;33;1.000000;1.000000;68264.656250;2595.000000
0.47300181;10.18099976;2.19440556;145;132;123;1.000000;1.000000;68264.656250;9733.000000
0.49600181;10.23299980;2.19840574;149;139;129;1.000000;1.000000;68264.656250;9733.000000
0.51300180;10.27799988;2.19840574;121;113;102;1.000000;1.000000;68264.656250;9733.000000
0.58700180;10.39900017;2.22040558;55;59;44;1.000000;1.000000;68264.656250;9733.000000
0.67200178;10.49400043;2.25740576;67;71;56;1.000000;1.000000;68264.656250;11031.000000
0.71100181;10.67199993;2.23640561;74;75;56;1.000000;1.000000;68264.656250;18817.000000
0.73500180;10.74699974;2.23340559;65;68;50;1.000000;1.000000;68264.656250;16222.000000
0.72000182;10.76700020;2.21640563;38;30;28;1.000000;1.000000;68264.656250;17520.000000
0.71000183;10.78900051;2.20240569;81;67;66;1.000000;1.000000;68264.664063;10382.000000
